run_id,structure_id,position_group,manual_group,is_extra_tail_group,x_m,y_m,position_received_packets,position_expected_packets_from_fcnt,position_missing_packets_from_fcnt,position_duplicate_fcnt_packets,position_fcnt_min,position_fcnt_max,position_packet_delivery_rate,position_packet_loss_rate,position_data_loss_rate
2026-06-25_R1189_01,R1189,4,4,False,-42.908,-3.3000000000000003,9,9,0,0,751,759,1.0,0.0,0.0
2026-06-25_R1189_01,R1189,5,5,False,-56.544,-3.3000000000000003,9,9,0,0,760,768,1.0,0.0,0.0
2026-06-25_R1189_01,R1189,6,6,False,-70.17999999999999,-3.3000000000000003,15,15,0,0,769,783,1.0,0.0,0.0
2026-06-25_R1189_01,R1189,7,7,False,-83.816,-3.3000000000000003,30,30,0,0,784,813,1.0,0.0,0.0
2026-06-25_R1189_01,R1189,8,8,False,-97.452,-3.3000000000000003,13,13,0,0,814,826,1.0,0.0,0.0
2026-06-25_R1189_01,R1189,9,9,False,-111.088,-3.3000000000000003,5,10,5,0,827,836,0.5,0.5,0.5
2026-06-25_R1189_01,R1189,10,10,False,-124.72399999999999,-3.3000000000000003,5,6,1,0,843,848,0.8333333333333334,0.16666666666666666,0.16666666666666666
2026-06-25_R1189_01,R1189,11,11,False,-138.35999999999999,-3.3000000000000003,5,7,2,0,850,856,0.7142857142857143,0.2857142857142857,0.2857142857142857
2026-06-25_R1189_01,R1189,12,12,False,-161.99599999999998,-3.3000000000000003,1,1,0,0,860,860,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,1,1,False,2.0,0.6999999999999997,13,13,0,0,870,882,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,2,2,False,15.636,0.6999999999999997,10,10,0,0,883,892,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,3,3,False,29.272,0.6999999999999997,9,9,0,0,893,901,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,4,4,False,42.908,0.6999999999999997,13,909,896,0,5,913,0.014301430143014302,0.9856985698569857,0.9856985698569857
2026-06-25_R1352_01,R1352,5,5,False,56.544,0.6999999999999997,13,13,0,0,914,926,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,6,6,False,70.17999999999999,0.6999999999999997,6,6,0,0,927,932,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,7,7,False,83.816,0.6999999999999997,29,29,0,0,933,961,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,8,8,False,97.452,0.6999999999999997,11,11,0,0,962,972,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,9,9,False,111.088,0.6999999999999997,8,8,0,0,973,980,1.0,0.0,0.0
