source_csv,scenario,metric,term,coefficient,std_error,t_stat,p_value
clean_data.csv,full_clean,rssi,intercept,-13.856293328921199,0.6739100963372305,-20.561041308375632,1.6096626333803215e-87
clean_data.csv,full_clean,rssi,log10_distance_m,-42.91706846300351,0.37434962163125285,-114.64434844621877,0.0
clean_data.csv,full_clean,rssi,effective_row_crossings,0.055785005097661156,0.0033954064148512017,16.429551659460433,6.072761700458922e-58
clean_data.csv,full_clean,snr,intercept,30.329945030836708,0.650923974203725,46.59521884708474,0.0
clean_data.csv,full_clean,snr,log10_distance_m,-12.550804997128532,0.36158108444770903,-34.710900367753055,2.262291957483573e-219
clean_data.csv,full_clean,snr,effective_row_crossings,-0.04650742318729151,0.003279593894800156,-14.180848202281906,4.110328932257486e-44
clean_data.csv,filtered_clean,rssi,intercept,-17.642608178321044,0.7505773359518941,-23.505383567099596,5.64044728313029e-107
clean_data.csv,filtered_clean,rssi,log10_distance_m,-40.286997340434766,0.4374553168205917,-92.09397118142054,0.0
clean_data.csv,filtered_clean,rssi,effective_row_crossings,0.07640889682314622,0.005607045797807919,13.627300289399876,2.396327554085808e-40
clean_data.csv,filtered_clean,snr,intercept,21.753347542268404,0.46324771188899544,46.95834859834342,0.0
clean_data.csv,filtered_clean,snr,log10_distance_m,-6.854789775954152,0.2699923976705352,-25.3888251487691,4.549562425141988e-122
clean_data.csv,filtered_clean,snr,effective_row_crossings,-0.012847537598022818,0.0034606042733720394,-3.712512781909062,0.0002113565707599457
